dae,demand,rrp,demand_pos_RRP,RRP_positive,demand_neg_RRP,RRP_negative,frac_at_neg_RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday,year,month,day,weekday,month_sin,month_cos,fr_RRP
,107383.37,919.7694151,107383.37,919.7694151,0.0,0.0,0.0,11.2,18.4,13.0,0.0,0,1,,,,,,,9.197694151
,120235.505,1152.342866,118471.68,1152.342866,1763.825,0.0,0.020833334,12.4,17.3,3.9,0.0,0,0,,,,,,,11.52342866
,122129.775,1359.972491,122129.775,1359.972491,0.0,0.0,0.0,13.3,17.7,12.6,5.6,0,0,,,,,,,13.59972491
,123990.76,1359.96083,123990.76,1359.96083,0.0,0.0,0.0,8.7,19.1,10.9,0.0,0,0,,,,,,,13.5996083
,121753.115,1385.280127,121753.115,1385.280127,0.0,0.0,0.0,8.6,18.7,15.9,0.0,0,0,,,,,,,13.85280127
,110034.165,1243.866469,110034.165,1243.866469,0.0,0.0,0.0,11.6,23.7,14.9,0.0,0,0,,,,,,,12.43866469
,103760.225,1189.761356,103760.225,1189.761356,0.0,0.0,0.0,12.1,18.3,13.4,0.0,0,0,,,,,,,11.89761356
,125107.78,1586.577196,125107.78,1586.577196,0.0,0.0,0.0,7.3,19.1,14.9,0.0,0,0,,,,,,,15.86577196
,127793.38,1672.189725,127793.38,1672.189725,0.0,0.0,0.0,10.5,24.7,8.4,1.6,1,0,,,,,,,16.72189725
,126673.935,1677.33563,126673.935,1677.33563,0.0,0.0,0.0,13.9,27.6,12.8,2.4,1,0,,,,,,,16.7733563
,126937.94,2194.767402,126937.94,2194.767402,0.0,0.0,0.0,15.6,17.8,10.9,0.0,1,0,,,,,,,21.94767402
,131031.415,1833.625885,131031.415,1833.625885,0.0,0.0,0.0,10.1,17.1,7.5,0.0,1,0,,,,,,,18.33625885
,109763.985,1410.259957,109763.985,1410.259957,0.0,0.0,0.0,13.5,21.9,9.9,3.6,1,0,,,,,,,14.10259957
,107160.54,1323.970465,107160.54,1323.970465,0.0,0.0,0.0,9.7,14.7,11.0,6.4,1,0,,,,,,,13.23970465
,126696.19,1816.883636,126696.19,1816.883636,0.0,0.0,0.0,7.0,16.2,12.7,1.4,1,0,,,,,,,18.16883636
,127973.585,1644.026815,127973.585,1644.026815,0.0,0.0,0.0,6.5,17.7,13.8,0.0,1,0,,,,,,,16.44026815
,128598.495,1979.710548,128598.495,1979.710548,0.0,0.0,0.0,9.1,19.5,7.1,0.0,1,0,,,,,,,19.79710548
,126483.805,1911.043052,126483.805,1911.043052,0.0,0.0,0.0,12.2,19.2,7.5,0.0,1,0,,,,,,,19.11043052
,126230.785,1969.063663,126230.785,1969.063663,0.0,0.0,0.0,14.4,21.1,7.8,0.0,1,0,,,,,,,19.69063663
,111803.625,1401.529748,111803.625,1401.529748,0.0,0.0,0.0,11.6,15.0,3.5,3.0,1,1,,,,,,,14.01529748
,108217.82,1562.144896,108217.82,1562.144896,0.0,0.0,0.0,10.4,15.4,5.9,7.0,1,0,,,,,,,15.62144896
,127855.22,2625.912038,127855.22,2625.912038,0.0,0.0,0.0,10.5,15.1,8.3,4.0,1,0,,,,,,,26.25912038
,132642.14,2496.160456,132642.14,2496.160456,0.0,0.0,0.0,10.1,16.0,8.9,1.6,1,0,,,,,,,24.96160456
,132814.615,2148.818837,132814.615,2148.818837,0.0,0.0,0.0,7.4,17.1,12.6,0.0,1,0,,,,,,,21.48818837
,132669.58,2109.048592,132669.58,2109.048592,0.0,0.0,0.0,6.4,19.6,12.3,0.0,1,0,,,,,,,21.09048592
,126304.445,2561.24723,126304.445,2561.24723,0.0,0.0,0.0,7.9,23.1,12.1,0.0,1,0,,,,,,,25.6124723
,108487.975,1394.717552,108487.975,1394.717552,0.0,0.0,0.0,11.6,22.2,6.1,0.0,1,0,,,,,,,13.94717552
