date,demand,RRP,demand_pos_RRP,RRP_positive,demand_neg_RRP,RRP_negative,frac_at_neg_RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday,Hour,DayOfWeek,Month,Year,demand_Lag_1,demand_Lag_7,Z_Score
2017-09-20,123461.38,82.59561088252866,123461.38,82.59561088252866,0.0,0.0,0.0,6.0,19.2,17.3,0.0,Y,N,0,2,9,2017,124033.95500000002,127192.315,0.24925216099085665
2017-09-21,119309.93,74.95776902391945,119309.93,74.95776902391945,0.0,0.0,0.0,11.6,23.6,13.0,0.0,Y,N,0,3,9,2017,123461.38,131986.8049999999,0.05278725273051812
2017-09-22,116611.25,75.28911915617061,116611.25,75.28911915617061,0.0,0.0,0.0,12.8,25.6,15.6,0.0,N,N,0,4,9,2017,119309.93,128761.60499999998,0.2491301510001818
2017-09-23,101012.28999999996,63.01739619753205,101012.28999999996,63.01739619753205,0.0,0.0,0.0,14.8,30.6,17.3,0.0,N,N,0,5,9,2017,116611.25,111301.56,1.3840349994418524
2017-09-24,92608.24000000002,43.197347596175,92608.24000000002,43.197347596175,0.0,0.0,0.0,12.9,19.9,12.0,0.4,N,N,0,6,9,2017,101012.28999999996,104766.0,1.9954730114340709
2017-09-25,119126.485,71.24106570843588,119126.485,71.24106570843588,0.0,0.0,0.0,10.3,14.2,10.9,1.6,N,N,0,0,9,2017,92608.24000000002,115123.54,0.06613382326614185
2017-09-26,124452.94000000002,79.80022526145224,124452.94000000002,79.80022526145224,0.0,0.0,0.0,5.0,15.1,20.4,0.4,N,N,0,1,9,2017,119126.485,124033.95500000002,0.3213932685724412
2017-09-27,119028.07,72.54550909966025,119028.07,72.54550909966025,0.0,0.0,0.0,9.6,24.6,11.7,0.0,N,N,0,2,9,2017,124452.94000000002,123461.38,0.07329402244989382
2017-09-28,116655.85499999998,61.64955657519292,116655.85499999998,61.64955657519292,0.0,0.0,0.0,10.4,18.5,12.8,0.0,N,N,0,3,9,2017,119028.07,119309.93,0.24588490703746124
2017-09-29,102847.25500000002,42.634675645937264,102847.25500000002,42.634675645937264,0.0,0.0,0.0,10.6,18.4,14.5,0.0,N,Y,0,4,9,2017,116655.85499999998,116611.25,1.2505318251776176
2017-09-30,100701.82000000002,47.309943528329455,100701.82000000002,47.309943528329455,0.0,0.0,0.0,11.0,15.4,16.1,1.0,N,N,0,5,9,2017,102847.25500000002,101012.28999999996,1.4066232943214867
2017-10-01,103556.74,58.98962758097639,103556.74,58.98962758097639,0.0,0.0,0.0,9.7,17.2,9.2,0.0,N,N,0,6,10,2017,100701.82000000002,92608.24000000002,1.1989131296750573
2017-10-02,119226.42000000006,74.49715828798679,119226.42000000006,74.49715828798679,0.0,0.0,0.0,9.5,16.4,16.4,0.0,N,N,0,0,10,2017,103556.74,119126.485,0.0588630362374501
2017-10-03,118856.415,79.05914604609265,118856.415,79.05914604609265,0.0,0.0,0.0,6.8,22.3,21.8,0.0,N,N,0,1,10,2017,119226.42000000006,124452.94000000002,0.08578280963565939
2017-10-04,114604.62,71.10873322995184,114604.62,71.10873322995184,0.0,0.0,0.0,8.5,20.8,21.6,0.0,N,N,0,2,10,2017,118856.415,119028.07,0.39512284000178893
2017-10-05,113134.57999999994,65.3157362629534,113134.57999999994,65.3157362629534,0.0,0.0,0.0,11.7,19.4,10.4,0.0,N,N,0,3,10,2017,114604.62,116655.85499999998,0.5020758370864182
2017-10-06,118359.28,53.42903945047653,118359.28,53.42903945047653,0.0,0.0,0.0,10.1,15.0,16.8,2.4,N,N,0,4,10,2017,113134.57999999994,102847.25500000002,0.12195194666979774
2017-10-07,101974.595,38.89411226443213,101974.595,38.89411226443213,0.0,0.0,0.0,7.2,23.7,17.3,0.2,N,N,0,5,10,2017,118359.28,100701.82000000002,1.314022344099464
2017-10-08,97053.54500000004,56.1603521344841,97053.54500000004,56.1603521344841,0.0,0.0,0.0,11.1,25.3,19.5,0.0,N,N,0,6,10,2017,101974.595,103556.74,1.672054129835425
